Candidate,Party,State,District,Incumbent,Winner,Percentage of Vote,Raised,Spent,Funds Remaining
Jerry Carl,(R),Alabama,District 01 ,False,True,64.9,1971321,1859349,111973
James Averhart,(D),Alabama,District 01 ,False,False,35.0,80095,78973,1122
Barry Moore,(R),Alabama,District 02 ,False,True,65.3,650807,669368,-13633
Phyllis Harvey-Hall,(D),Alabama,District 02 ,False,False,34.6,56050,55988,0
Mike D Rogers,(R),Alabama,District 03 ,True,True,67.5,1193111,1218564,502234
Adia Winfrey,(D),Alabama,District 03 ,False,False,32.4,50273,40971,43
Robert B Aderholt,(R),Alabama,District 04 ,True,True,82.5,1255076,1323812,647004
Mo Brooks,(R),Alabama,District 05 ,True,True,95.8,655365,210045,1137501
Gary Palmer,(R),Alabama,District 06 ,True,True,97.1,907219,909082,370688
Terri Sewell,(D),Alabama,District 07 ,True,True,97.2,2168165,1495957,2243480
Don Young,(R),Alaska,District 01 ,True,True,54.4,1922901,1790448,249173
Alyse Galvin,(I),Alaska,District 01 ,False,False,45.3,5178452,5088103,96594
Tom O'Halleran,(D),Arizona,District 01 ,True,True,51.6,3381353,3324138,63147
Tiffany Shedd,(R),Arizona,District 01 ,False,False,48.4,1675618,1615704,63347
Ann Kirkpatrick,(D),Arizona,District 02 ,True,True,55.1,1849862,1384765,537288
Brandon Martin,(R),Arizona,District 02 ,False,False,44.9,374821,381067,-7418
Raul M Grijalva,(D),Arizona,District 03 ,True,True,64.6,843560,655507,226209
Daniel Wood,(R),Arizona,District 03 ,False,False,35.4,41422,41962,-539
Paul Gosar,(R),Arizona,District 04 ,True,True,69.8,622151,729892,13459
Delina DiSanto,(D),Arizona,District 04 ,False,False,30.2,77168,79758,5974
Andy Biggs,(R),Arizona,District 05 ,True,True,58.9,1602181,1236380,651047
Joan Greene,(D),Arizona,District 05 ,False,False,41.1,356069,209789,147117
David Schweikert,(R),Arizona,District 06 ,True,True,52.2,2265329,2249979,59582
Hiral Tipirneni,(D),Arizona,District 06 ,False,False,47.8,6301073,6366702,34973
Tom Lewellen,(I),Arizona,District 06 ,False,False,,11685,11000,-3293
Ruben Gallego,(D),Arizona,District 07 ,True,True,76.7,1811754,1653961,616971
Josh Barnett,(R),Arizona,District 07 ,False,False,23.3,28093,17883,10210
Debbie Lesko,(R),Arizona,District 08 ,True,True,59.6,1605245,987453,688633
Michael Muscato,(D),Arizona,District 08 ,False,False,40.4,357906,347734,10172
Greg Stanton,(D),Arizona,District 09 ,True,True,61.6,2001619,1001350,1044655
Dave Giles,(R),Arizona,District 09 ,False,False,38.4,130480,129935,546
Rick Crawford,(R),Arkansas,District 01 ,True,True,100.0,966801,1095518,182708
French Hill,(R),Arkansas,District 02 ,True,True,55.4,3384490,3020491,410779
Joyce Elliott,(D),Arkansas,District 02 ,False,False,44.6,3482463,3478733,3730
Steve Womack,(R),Arkansas,District 03 ,True,True,64.3,1127158,923120,1363257
Celeste Williams (D),(D),Arkansas,District 03 ,False,False,31.8,355294,355294,0
Bruce Westerman,(R),Arkansas,District 04 ,True,True,69.7,1407770,1102573,976806
William Hanson,(D),Arkansas,District 04 ,False,False,27.5,109767,111683,-1916
Doug LaMalfa,(R),California,District 01 ,True,True,56.9,1219556,1155945,91242
Audrey Denney,(D),California,District 01 ,False,False,43.1,2461769,2457661,4601
Jared Huffman,(D),California,District 02 ,True,True,75.7,899419,797753,922442
Dale Mensing,(R),California,District 02 ,False,False,24.3,5921,2197,5391
John Garamendi,(D),California,District 03 ,True,True,54.7,1054066,667320,1111122
Tamika Hamilton,(R),California,District 03 ,False,False,45.3,397099,384584,12515
Tom McClintock,(R),California,District 04 ,True,True,55.9,2053363,2107248,171001
Brynne Kennedy,(D),California,District 04 ,False,False,44.1,3006020,3002532,3489
Mike Thompson,(D),California,District 05 ,True,True,76.8,2208136,2022751,1746172
Doris Matsui,(D),California,District 06 ,True,True,73.4,1019605,1073529,269411
Chris Bish,(R),California,District 06 ,False,False,26.6,44772,44554,965
Ami Bera,(D),California,District 07 ,True,True,56.6,1757748,1053444,2029018
